TEAM,PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Pheonix Suns,"
Chris Paul
",30:38,1,7,14.3,0,1,0.0,5,6,83.3,1,4,5,9,1,0,3,1,7,-3
Pheonix Suns,"
Cameron Payne",17:22,5,10,50.0,2,3,66.7,0,0,0.0,1,1,2,5,1,1,1,0,12,16
Pheonix Suns,"
Torrey Craig",17:18,6,6,100,1,1,100,0,0,0.0,4,2,6,2,0,0,1,1,13,7
Pheonix Suns,"
Jock Landale",17:00,4,9,44.4,0,4,0.0,0,0,0.0,0,2,2,2,0,1,0,2,8,18
Pheonix Suns,"
Landry Shamet",17:17,2,4,50.0,1,3,33.3,0,0,0.0,1,0,1,2,1,0,0,4,5,13
Pheonix Suns,"
Damion Lee",15:31,1,5,20.0,1,4,25.0,0,0,0.0,0,3,3,0,1,0,1,1,3,20
Pheonix Suns,"
Bismack Biyombo",23:18,5,7,71.4,0,0,0.0,1,2,50.0,4,9,13,2,0,2,0,5,11,0
Pheonix Suns,"
Josh Okogie",1:38,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,0,0,-1
Pheonix Suns,"
Duane Washington Jr.",1:38,1,3,33.3,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1
Pheonix Suns,"
Mikal Bridges
",32:48,5,7,71.4,2,3,66.7,3,4,75.0,1,4,5,1,0,1,1,3,15,12
Pheonix Suns,"
Cameron Johnson
",31:14,7,15,46.7,5,11,45.5,0,0,0.0,0,7,7,1,1,0,0,3,19,19
Pheonix Suns,"
Bismack Biyombo
",21:59,1,1,100,0,0,0.0,3,5,60.0,0,5,5,0,0,5,2,3,5,12
Pheonix Suns,"
Devin Booker
",35:23,14,24,58.3,1,7,14.3,1,3,33.3,1,2,3,6,1,0,1,2,30,11
Pheonix Suns,"
Chris Paul
",31:14,3,7,42.9,0,4,0.0,4,5,80.0,0,1,1,15,0,0,0,1,10,19
Pheonix Suns,"
Jock Landale",23:27,6,9,66.7,0,1,0.0,4,4,100,5,2,7,0,1,1,2,5,16,0
Pheonix Suns,"
Cameron Payne",16:46,5,12,41.7,2,7,28.6,0,0,0.0,0,2,2,4,4,0,3,0,12,-4
Pheonix Suns,"
Torrey Craig",18:19,0,1,0.0,0,1,0.0,0,0,0.0,2,0,2,1,0,1,1,3,0,-1
Pheonix Suns,"
Landry Shamet",15:12,3,6,50.0,2,5,40.0,2,4,50.0,0,1,1,1,2,0,1,1,10,3
Pheonix Suns,"
Damion Lee",11:36,0,1,0.0,0,1,0.0,5,5,100,1,2,3,0,0,0,0,1,5,4
Pheonix Suns,"
Josh Okogie",1:01,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0
Pheonix Suns,"
Duane Washington Jr.",1:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Pheonix Suns,"
Mikal Bridges
",38:12,7,10,70.0,1,2,50.0,4,4,100,2,1,3,4,1,1,1,1,19,20
Pheonix Suns,"
Cameron Johnson
",33:15,10,17,58.8,7,11,63.6,2,3,66.7,0,2,2,3,3,1,0,1,29,17
Pheonix Suns,"
Bismack Biyombo
",29:50,4,5,80.0,0,0,0.0,0,0,0.0,1,3,4,1,0,4,1,2,8,11
